Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
pelvis,-1.6653E-16,-2.2204E-16,-4.4409E-16,0,0,0,34.943,0.93854,6.9389E-17,0.00014521,0.66907,-1.3878E-16,0.43648,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/pelvis.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/pelvis.STL,,Body-4,body_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,0,0,0,0,0,0,0.0015536,4.6849E-07,2.9959E-23,9.2644E-23,4.8549E-09,-3.1195E-22,4.6849E-07,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_hip_pitch_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_hip_pitch_link.STL,,leftHipPitchBearing-2,left_leg_pitch_link,A_left_leg_pitch_link,left_hip_pitch_joint,revolute,0.035547,0.125,-0.23462,0,0,0,pelvis,0,-1,0,88,32,-2.5307,2.8798,,,0.001,0.001,,,0.5,1
left_hip_roll_link,-5.5511E-17,0,0,0,0,0,0.0025893,8.0914E-09,2.7943E-22,4.9569E-22,2.1618E-06,-5.294E-23,2.1618E-06,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_hip_roll_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_hip_roll_link.STL,,leftHipRollBearing-3,left_leg_roll_link,A_left_leg_roll_link,left_hip_roll_joint,revolute,-0.035,0,-0.033287,0,0,0,left_hip_pitch_link,-1,0,0,139,20,-0.5236,2.9671,,,0.001,0.001,,,,
left_hip_yaw_link,-2.58450629619933E-07,0.000472758315156585,-0.231792713901149,0,0,0,11.2473004285205,0.231394540275476,-9.20882395512301E-09,-4.2241790727468E-07,0.231316034581791,-1.13613894258714E-07,0.0318374304605511,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_hip_yaw_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_hip_yaw_link.STL,,leftThigh-2,left_leg_yaw_link,A_left_leg_yaw_link,left_hip_yaw_joint,revolute,0,0,-0.025,0,0,0,left_hip_roll_link,0,0,1,88,32,-2.7576,2.7576,,,0.001,0.001,,,,
left_knee_link,-0.0139131252142454,-0.0488845950511706,-0.187792124098217,0,0,0,5.76539951970926,0.0776042634878248,7.32271406822735E-05,0.000652002707951832,0.0771567272566777,-0.00746913653561562,0.0110322896952923,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_knee_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_knee_link.STL,,leftCalf-2,left_leg_knee_link,A_left_leg_knee_pitch_link,left_knee_joint,revolute,0,0.028992,-0.53,0.11075,0,0,left_hip_yaw_link,0,0.99387,-0.11052,139,20,0,2.8798,,,0.001,0.001,,,,
left_ankle_pitch_link,1.11022302462516E-16,-1.11022302462516E-16,4.44089209850063E-16,0,0,0,0.00116516762783124,1.98442611615009E-07,-4.40473676184487E-23,-1.32348898008484E-23,3.6411488369726E-09,-2.09380092552485E-22,1.98442611615009E-07,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_ankle_pitch_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_ankle_pitch_link.STL,,leftAnklePitchBearing-1,leftleg_ankle_pitch_link,A_left_leg_ankle_pitch_link,left_ankle_pitch_joint,revolute,0.0068228,-0.077612,-0.44598,-0.11075,0,0,left_knee_link,0,1,0,35,40,-0.87267,0.5236,,,0.001,0.001,,,,
left_ankle_roll_link,0.0563513600563672,8.21845006837574E-06,-0.0421045472436443,0,0,0,0.963959688128522,0.000764646598926509,1.72829201773262E-07,4.59199794656664E-05,0.00400549261717651,-2.69153855232706E-07,0.00450681920337097,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_ankle_roll_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/left_ankle_roll_link.STL,,leftFoot-3,leftleg_ankle_roll_link,A_left_leg_ankle_roll_link,left_ankle_roll_joint,revolute,0,0,-0.02,0,0,0,left_ankle_pitch_link,1,0,0,35,40,-0.2618,0.2618,,,0.001,0.001,,,,
right_hip_pitch_link,5.5511E-17,3.3307E-16,4.4409E-16,0,0,0,0.0015536,4.6849E-07,-1.2025E-22,-1.9852E-23,4.8549E-09,2.131E-22,4.6849E-07,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/right_hip_pitch_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/right_hip_pitch_link.STL,,rightHipPitchBearing-1,right_leg_pitch_link,A_right_hip_pitch_link,right_hip_pitch_joint,revolute,0.0055475,-0.125,-0.23462,0,0,0,pelvis,0,-1,0,88,32,-2.5307,2.8798,,,0.001,0.001,,,,
right_hip_roll_link,-5.5511E-17,1.1102E-16,-4.4409E-16,0,0,0,0.0025893,8.0914E-09,-8.4042E-22,8.309E-22,2.1618E-06,-1.0588E-22,2.1618E-06,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/right_hip_roll_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/right_hip_roll_link.STL,,rightRollBearing-1,right_leg_roll_link,A_right_leg_roll_link,right_hip_roll_joint,revolute,-0.005,0,-0.033287,0,0,0,right_hip_pitch_link,-1,0,0,139,20,-2.9671,0.5236,,,0.001,0.001,,,,
right_hip_yaw_link,-2.5811E-07,-0.00049538,-0.24187,0,0,0,11.25,0.23129,-1.3204E-08,-4.2184E-07,0.23122,-1.145E-07,0.031833,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/right_hip_yaw_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://Human(LBw).SLDASM/meshes/right_hip_yaw_link.STL,,rightThigh-3,right_leg_yaw_link,A_right_leg_yaw_link,right_hip_yaw_joint,revolute,0,0,-0.015,0,0,0,right_hip_roll_link,0,0,1,88,32,-2.7576,2.7576,,,0.001,0.001,,,,
